Dataset,SF,ARI,K
Dataset A,0.0999999999999999,0.0,23
Dataset A,0.0999999999999999,0.0,24
Dataset A,0.0999999999999999,0.0,25
Dataset A,0.0999999999999999,0.0,26
Dataset A,0.0999999999999999,0.0,27
Dataset A,0.0999999999999999,0.0,28
Dataset A,0.0999999999999999,0.0,29
Dataset A,0.0999999999999999,0.0,30
Dataset A,0.0999999999999999,0.0,31
Dataset A,0.0999999999999999,0.0,32
Dataset A,0.0999999999999999,0.0,33
Dataset A,0.0999999999999999,0.0,34
Dataset A,0.0999999999999999,0.0,35
Dataset A,0.1049999999999999,0.468985408825667,2
Dataset A,0.1049999999999999,0.3322356203387681,3
Dataset A,0.1049999999999999,0.2326700956669357,4
Dataset A,0.1049999999999999,0.1599695341746563,5
Dataset A,0.1049999999999999,0.1109822370272769,6
Dataset A,0.1049999999999999,0.0638063161756463,7
Dataset A,0.1049999999999999,0.0159600137786715,8
Dataset A,0.1049999999999999,0.0,9
Dataset A,0.1049999999999999,0.0,10
Dataset A,0.1049999999999999,0.0,11
Dataset A,0.1049999999999999,0.0,12
Dataset A,0.1049999999999999,0.0,13
Dataset A,0.1049999999999999,0.0,14
Dataset A,0.1049999999999999,0.0,15
Dataset A,0.1049999999999999,0.0,16
Dataset A,0.1049999999999999,0.0,17
Dataset A,0.1049999999999999,0.0,18
Dataset A,0.1049999999999999,0.0,19
Dataset A,0.1049999999999999,0.0,20
Dataset A,0.1049999999999999,0.0,21
Dataset A,0.1049999999999999,0.0,22
Dataset A,0.1049999999999999,0.0,23
Dataset A,0.1049999999999999,0.0,24
Dataset A,0.1049999999999999,0.0,25
Dataset A,0.1049999999999999,0.0,26
Dataset A,0.1049999999999999,0.0,27
Dataset A,0.1049999999999999,0.0,28
Dataset A,0.1049999999999999,0.0,29
Dataset A,0.1049999999999999,0.0,30
Dataset A,0.1049999999999999,0.0,31
Dataset A,0.1049999999999999,0.0,32
Dataset A,0.1049999999999999,0.0,33
Dataset A,0.1049999999999999,0.0,34
Dataset A,0.1049999999999999,0.0,35
Dataset A,0.1099999999999999,0.5657982985393633,2
Dataset A,0.1099999999999999,0.4000102108541379,3
Dataset A,0.1099999999999999,0.2735927075285452,4
Dataset A,0.1099999999999999,0.2040198116412025,5
Dataset A,0.1099999999999999,0.1428265930087218,6
Dataset A,0.1099999999999999,0.1069868817397409,7
Dataset A,0.1099999999999999,0.0585208798636555,8
Dataset A,0.1099999999999999,0.0,9
Dataset A,0.1099999999999999,0.0,10
Dataset A,0.1099999999999999,0.0,11
Dataset A,0.1099999999999999,0.0,12
Dataset A,0.1099999999999999,0.0,13
Dataset A,0.1099999999999999,0.0,14
Dataset A,0.1099999999999999,0.0,15
Dataset A,0.1099999999999999,0.0,16
Dataset A,0.1099999999999999,0.0,17
Dataset A,0.1099999999999999,0.0,18
Dataset A,0.1099999999999999,0.0,19
Dataset A,0.1099999999999999,0.0,20
Dataset A,0.1099999999999999,0.0,21
Dataset A,0.1099999999999999,0.0,22
Dataset A,0.1099999999999999,0.0,23
Dataset A,0.1099999999999999,0.0,24
Dataset A,0.1099999999999999,0.0,25
Dataset A,0.1099999999999999,0.0,26
Dataset A,0.1099999999999999,0.0,27
Dataset A,0.1099999999999999,0.0,28
Dataset A,0.1099999999999999,0.0,29
Dataset A,0.1099999999999999,0.0,30
Dataset A,0.1099999999999999,0.0,31
Dataset A,0.1099999999999999,0.0,32
Dataset A,0.1099999999999999,0.0,33
Dataset A,0.1099999999999999,0.0,34
Dataset A,0.1099999999999999,0.0,35
Dataset A,0.1149999999999999,0.582329387687571,2
Dataset A,0.1149999999999999,0.4115204569032196,3
Dataset A,0.1149999999999999,0.3111098636090391,4
Dataset A,0.1149999999999999,0.2372343947664146,5
Dataset A,0.1149999999999999,0.167475533682817,6
Dataset A,0.1149999999999999,0.1297893900094411,7
Dataset A,0.1149999999999999,0.0754117625994716,8
Dataset A,0.1149999999999999,0.0260308916481219,9
Dataset A,0.1149999999999999,0.0,10
Dataset A,0.1149999999999999,0.0,11
Dataset A,0.1149999999999999,0.0,12
Dataset A,0.1149999999999999,0.0,13
Dataset A,0.1149999999999999,0.0,14
Dataset A,0.1149999999999999,0.0,15
Dataset A,0.1149999999999999,0.0,16
Dataset A,0.1149999999999999,0.0,17
Dataset A,0.1149999999999999,0.0,18
Dataset A,0.1149999999999999,0.0,19
Dataset A,0.1149999999999999,0.0,20
Dataset A,0.1149999999999999,0.0,21
Dataset A,0.1149999999999999,0.0,22
Dataset A,0.1149999999999999,0.0,23
Dataset A,0.1149999999999999,0.0,24
Dataset A,0.1149999999999999,0.0,25
Dataset A,0.1149999999999999,0.0,26
Dataset A,0.1149999999999999,0.0,27
Dataset A,0.1149999999999999,0.0,28
Dataset A,0.1149999999999999,0.0,29
Dataset A,0.1149999999999999,0.0,30
Dataset A,0.1149999999999999,0.0,31
Dataset A,0.1149999999999999,0.0,32
Dataset A,0.1149999999999999,0.0,33
Dataset A,0.1149999999999999,0.0,34
Dataset A,0.1149999999999999,0.0,35
Dataset A,0.1199999999999999,0.5596559098866448,2
Dataset A,0.1199999999999999,0.5225087163311561,3
Dataset A,0.1199999999999999,0.359076123279443,4
Dataset A,0.1199999999999999,0.2832326110138629,5
Dataset A,0.1199999999999999,0.2076374639228032,6
Dataset A,0.1199999999999999,0.1715605286421322,7
Dataset A,0.1199999999999999,0.1084039216400877,8
Dataset A,0.1199999999999999,0.0983728885441231,9
Dataset A,0.1199999999999999,0.0260308916481219,10
Dataset A,0.1199999999999999,0.0,11
Dataset A,0.1199999999999999,0.0,12
Dataset A,0.1199999999999999,0.0,13
Dataset A,0.1199999999999999,0.0,14
Dataset A,0.1199999999999999,0.0,15
Dataset A,0.1199999999999999,0.0,16
Dataset A,0.1199999999999999,0.0,17
Dataset A,0.1199999999999999,0.0,18
Dataset A,0.1199999999999999,0.0,19
Dataset A,0.1199999999999999,0.0,20
Dataset A,0.1199999999999999,0.0,21
Dataset A,0.1199999999999999,0.0,22
Dataset A,0.1199999999999999,0.0,23
Dataset A,0.1199999999999999,0.0,24
Dataset A,0.1199999999999999,0.0,25
Dataset A,0.1199999999999999,0.0,26
Dataset A,0.1199999999999999,0.0,27
Dataset A,0.1199999999999999,0.0,28
Dataset A,0.1199999999999999,0.0,29
Dataset A,0.1199999999999999,0.0,30
Dataset A,0.1199999999999999,0.0,31
Dataset A,0.1199999999999999,0.0,32
Dataset A,0.1199999999999999,0.0,33
Dataset A,0.1199999999999999,0.0,34
Dataset A,0.1199999999999999,0.0,35
Dataset A,0.1249999999999999,0.6271818748583347,2
Dataset A,0.1249999999999999,0.6078483176626001,3
Dataset A,0.1249999999999999,0.4451520969168243,4
Dataset A,0.1249999999999999,0.3208332066907794,5
Dataset A,0.1249999999999999,0.2238901276606508,6
Dataset A,0.1249999999999999,0.1821161140380083,7
Dataset A,0.1249999999999999,0.1605127683834857,8
Dataset A,0.1249999999999999,0.1019004808378693,9
Dataset A,0.1249999999999999,0.0288536483002578,10
Dataset A,0.1249999999999999,0.0,11
Dataset A,0.1249999999999999,0.0,12
Dataset A,0.1249999999999999,0.0,13
Dataset A,0.1249999999999999,0.0,14
Dataset A,0.1249999999999999,0.0,15
Dataset A,0.1249999999999999,0.0,16
Dataset A,0.1249999999999999,0.0,17
Dataset A,0.1249999999999999,0.0,18
Dataset A,0.1249999999999999,0.0,19
Dataset A,0.1249999999999999,0.0,20
Dataset A,0.1249999999999999,0.0,21
Dataset A,0.1249999999999999,0.0,22
Dataset A,0.1249999999999999,0.0,23
Dataset A,0.1249999999999999,0.0,24
Dataset A,0.1249999999999999,0.0,25
Dataset A,0.1249999999999999,0.0,26
Dataset A,0.1249999999999999,0.0,27
Dataset A,0.1249999999999999,0.0,28
Dataset A,0.1249999999999999,0.0,29
Dataset A,0.1249999999999999,0.0,30
Dataset A,0.1249999999999999,0.0,31
Dataset A,0.1249999999999999,0.0,32
Dataset A,0.1249999999999999,0.0,33
Dataset A,0.1249999999999999,0.0,34
Dataset A,0.1249999999999999,0.0,35
Dataset A,0.1299999999999999,0.7232991401418012,2
Dataset A,0.1299999999999999,0.6960209348416085,3
Dataset A,0.1299999999999999,0.5057519020475865,4
Dataset A,0.1299999999999999,0.3592770706969395,5
Dataset A,0.1299999999999999,0.2859953056890578,6
Dataset A,0.1299999999999999,0.2296559902995626,7
Dataset A,0.1299999999999999,0.1722710600685467,8
Dataset A,0.1299999999999999,0.1227109324832584,9
Dataset A,0.1299999999999999,0.0816314977381999,10
Dataset A,0.1299999999999999,0.0260308916481219,11
Dataset A,0.1299999999999999,0.0,12
Dataset A,0.1299999999999999,0.0,13
Dataset A,0.1299999999999999,0.0,14
Dataset A,0.1299999999999999,0.0,15
Dataset A,0.1299999999999999,0.0,16
Dataset A,0.1299999999999999,0.0,17
Dataset A,0.1299999999999999,0.0,18
Dataset A,0.1299999999999999,0.0,19
Dataset A,0.1299999999999999,0.0,20
Dataset A,0.1299999999999999,0.0,21
Dataset A,0.1299999999999999,0.0,22
Dataset A,0.1299999999999999,0.0,23
Dataset A,0.1299999999999999,0.0,24
Dataset A,0.1299999999999999,0.0,25
Dataset A,0.1299999999999999,0.0,26
Dataset A,0.1299999999999999,0.0,27
Dataset A,0.1299999999999999,0.0,28
Dataset A,0.1299999999999999,0.0,29
Dataset A,0.1299999999999999,0.0,30
Dataset A,0.1299999999999999,0.0,31
Dataset A,0.1299999999999999,0.0,32
Dataset A,0.1299999999999999,0.0,33
Dataset A,0.1299999999999999,0.0,34
Dataset A,0.1299999999999999,0.0,35
Dataset A,0.1349999999999999,0.8332009102440177,2
Dataset A,0.1349999999999999,0.7389473622736438,3
Dataset A,0.1349999999999999,0.578643486843754,4
Dataset A,0.1349999999999999,0.4304568374591991,5
Dataset A,0.1349999999999999,0.3536768722851884,6
Dataset A,0.1349999999999999,0.2524527574913746,7
Dataset A,0.1349999999999999,0.1947880769986005,8
Dataset A,0.1349999999999999,0.1262876818213758,9
Dataset A,0.1349999999999999,0.0917278818244933,10
Dataset A,0.1349999999999999,0.0318016849822156,11
Dataset A,0.1349999999999999,0.0,12
Dataset A,0.1349999999999999,0.0,13
Dataset A,0.1349999999999999,0.0,14
Dataset A,0.1349999999999999,0.0,15
Dataset A,0.1349999999999999,0.0,16
Dataset A,0.1349999999999999,0.0,17
Dataset A,0.1349999999999999,0.0,18
Dataset A,0.1349999999999999,0.0,19
Dataset A,0.1349999999999999,0.0,20
Dataset A,0.1349999999999999,0.0,21
Dataset A,0.1349999999999999,0.0,22
Dataset A,0.1349999999999999,0.0,23
Dataset A,0.1349999999999999,0.0,24
Dataset A,0.1349999999999999,0.0,25
Dataset A,0.1349999999999999,0.0,26
Dataset A,0.1349999999999999,0.0,27
Dataset A,0.1349999999999999,0.0,28
Dataset A,0.1349999999999999,0.0,29
Dataset A,0.1349999999999999,0.0,30
Dataset A,0.1349999999999999,0.0,31
Dataset A,0.1349999999999999,0.0,32
Dataset A,0.1349999999999999,0.0,33
Dataset A,0.1349999999999999,0.0,34
Dataset A,0.1349999999999999,0.0,35
Dataset A,0.1399999999999999,0.86565825312574,2
Dataset A,0.1399999999999999,0.7802027997101575,3
Dataset A,0.1399999999999999,0.6463632181920483,4
Dataset A,0.1399999999999999,0.5196095116560979,5
Dataset A,0.1399999999999999,0.4416839658273278,6
Dataset A,0.1399999999999999,0.2986055598242225,7
Dataset A,0.1399999999999999,0.2195956940874312,8
Dataset A,0.1399999999999999,0.1705712791351572,9
Dataset A,0.1399999999999999,0.1295014436028461,10
Dataset A,0.1399999999999999,0.0914870671987702,11
Dataset A,0.1399999999999999,0.0260308916481219,12
Dataset A,0.1399999999999999,0.0,13
Dataset A,0.1399999999999999,0.0,14
Dataset A,0.1399999999999999,0.0,15
Dataset A,0.1399999999999999,0.0,16
Dataset A,0.1399999999999999,0.0,17
Dataset A,0.1399999999999999,0.0,18
Dataset A,0.1399999999999999,0.0,19
Dataset A,0.1399999999999999,0.0,20
Dataset A,0.1399999999999999,0.0,21
Dataset A,0.1399999999999999,0.0,22
Dataset A,0.1399999999999999,0.0,23
Dataset A,0.1399999999999999,0.0,24
Dataset A,0.1399999999999999,0.0,25
Dataset A,0.1399999999999999,0.0,26
Dataset A,0.1399999999999999,0.0,27
Dataset A,0.1399999999999999,0.0,28
Dataset A,0.1399999999999999,0.0,29
Dataset A,0.1399999999999999,0.0,30
Dataset A,0.1399999999999999,0.0,31
Dataset A,0.1399999999999999,0.0,32
Dataset A,0.1399999999999999,0.0,33
Dataset A,0.1399999999999999,0.0,34
Dataset A,0.1399999999999999,0.0,35
Dataset A,0.1449999999999999,0.9344703170191512,2
Dataset A,0.1449999999999999,0.825782758248228,3
Dataset A,0.1449999999999999,0.7442707643396477,4
Dataset A,0.1449999999999999,0.5930455303541832,5
Dataset A,0.1449999999999999,0.4792913386761509,6
Dataset A,0.1449999999999999,0.3733637690875312,7
Dataset A,0.1449999999999999,0.2566584037125645,8
Dataset A,0.1449999999999999,0.2384064857508242,9
Dataset A,0.1449999999999999,0.156369200218483,10
Dataset A,0.1449999999999999,0.1291129217666105,11
Dataset A,0.1449999999999999,0.0318016849822156,12
Dataset A,0.1449999999999999,0.0288536483002578,13
Dataset A,0.1449999999999999,0.0,14
Dataset A,0.1449999999999999,0.0,15
Dataset A,0.1449999999999999,0.0,16
Dataset A,0.1449999999999999,0.0,17
Dataset A,0.1449999999999999,0.0,18
Dataset A,0.1449999999999999,0.0,19
Dataset A,0.1449999999999999,0.0,20
Dataset A,0.1449999999999999,0.0,21
Dataset A,0.1449999999999999,0.0,22
